f,k,meanr,minr,maxr,proba
0,0,0.6503571428571426,0.35714285714285715,0.8928571428571429,0.0
0,1,0.6496428571428571,0.39285714285714285,0.9285714285714286,0.0
0,2,0.6417857142857143,0.2857142857142857,0.8214285714285714,0.0
0,3,0.6492857142857144,0.39285714285714285,0.8928571428571429,0.0
0,4,0.6321428571428568,0.35714285714285715,0.9285714285714286,0.0
0,5,0.6571428571428573,0.42857142857142855,0.8214285714285714,0.0
0,6,0.6349999999999998,0.39285714285714285,0.8571428571428571,0.0
0,7,0.6571428571428574,0.35714285714285715,0.8571428571428571,0.0
0,8,0.6524999999999997,0.35714285714285715,0.8571428571428571,0.0
0,9,0.655,0.35714285714285715,0.8571428571428571,0.0
1,0,0.6528571428571429,0.42857142857142855,0.8571428571428571,0.0
1,1,0.6453571428571426,0.39285714285714285,0.9285714285714286,0.0
1,2,0.6510714285714285,0.35714285714285715,0.8928571428571429,0.0
1,3,0.6446428571428572,0.42857142857142855,0.8928571428571429,0.0
1,4,0.6521428571428572,0.39285714285714285,0.8571428571428571,0.0
1,5,0.6607142857142858,0.35714285714285715,0.8571428571428571,0.0
1,6,0.6489285714285715,0.39285714285714285,0.8928571428571429,0.0
1,7,0.6607142857142857,0.39285714285714285,0.8571428571428571,0.0
1,8,0.6289285714285715,0.35714285714285715,0.8214285714285714,0.0
1,9,0.6564285714285713,0.42857142857142855,0.8571428571428571,0.0
2,0,0.6414285714285717,0.35714285714285715,0.8214285714285714,0.0
2,1,0.6542857142857145,0.39285714285714285,0.8928571428571429,0.0
2,2,0.6371428571428575,0.35714285714285715,0.8928571428571429,0.0
2,3,0.6492857142857145,0.32142857142857145,0.8928571428571429,0.0
2,4,0.6492857142857145,0.42857142857142855,0.8571428571428571,0.0
2,5,0.6478571428571432,0.39285714285714285,0.8928571428571429,0.0
2,6,0.6485714285714289,0.2857142857142857,0.8571428571428571,0.0
2,7,0.6414285714285713,0.32142857142857145,0.8571428571428571,0.0
2,8,0.6657142857142858,0.32142857142857145,0.8928571428571429,0.0
2,9,0.6439285714285716,0.35714285714285715,0.8571428571428571,0.0
3,0,0.6771428571428573,0.39285714285714285,0.9642857142857143,0.0
3,1,0.6525,0.39285714285714285,0.8928571428571429,0.0
3,2,0.6400000000000002,0.35714285714285715,0.8214285714285714,0.0
3,3,0.6446428571428572,0.39285714285714285,0.8571428571428571,0.0
3,4,0.6453571428571431,0.39285714285714285,0.9285714285714286,0.0
3,5,0.6650000000000001,0.39285714285714285,0.8928571428571429,0.0
3,6,0.6539285714285714,0.35714285714285715,0.9285714285714286,0.0
3,7,0.6485714285714288,0.42857142857142855,0.8928571428571429,0.0
3,8,0.6442857142857146,0.4642857142857143,0.8214285714285714,0.0
3,9,0.6507142857142856,0.42857142857142855,0.9285714285714286,0.0
4,0,0.6453571428571425,0.32142857142857145,0.8571428571428571,0.0
4,1,0.6589285714285715,0.42857142857142855,0.8571428571428571,0.0
4,2,0.6624999999999999,0.35714285714285715,0.8928571428571429,0.0
4,3,0.64,0.39285714285714285,0.8928571428571429,0.0
4,4,0.6567857142857142,0.32142857142857145,0.9285714285714286,0.0
4,5,0.6417857142857142,0.35714285714285715,0.8571428571428571,0.0
4,6,0.6610714285714284,0.35714285714285715,0.8928571428571429,0.0
4,7,0.6392857142857141,0.2857142857142857,0.8571428571428571,0.0
4,8,0.6410714285714285,0.35714285714285715,0.8214285714285714,0.0
4,9,0.6625000000000001,0.39285714285714285,0.9285714285714286,0.0
5,0,0.6571428571428569,0.32142857142857145,0.8571428571428571,0.0
5,1,0.6367857142857144,0.39285714285714285,0.8571428571428571,0.0
5,2,0.6360714285714286,0.42857142857142855,0.8571428571428571,0.0
5,3,0.6260714285714287,0.35714285714285715,0.8571428571428571,0.0
5,4,0.639285714285714,0.32142857142857145,0.9642857142857143,0.0
5,5,0.6482142857142857,0.39285714285714285,0.8571428571428571,0.0
5,6,0.6478571428571429,0.39285714285714285,0.8214285714285714,0.0
5,7,0.6592857142857141,0.35714285714285715,0.8571428571428571,0.0
5,8,0.6539285714285715,0.39285714285714285,0.9642857142857143,0.0
5,9,0.6514285714285714,0.32142857142857145,0.8571428571428571,0.0
6,0,0.6560714285714289,0.39285714285714285,0.9285714285714286,0.0
6,1,0.6592857142857146,0.35714285714285715,0.8928571428571429,0.0
6,2,0.6489285714285713,0.35714285714285715,0.8928571428571429,0.0
6,3,0.66,0.39285714285714285,0.8214285714285714,0.0
6,4,0.6600000000000001,0.42857142857142855,0.8214285714285714,0.0
6,5,0.6403571428571427,0.35714285714285715,0.8571428571428571,0.0
6,6,0.6450000000000001,0.39285714285714285,0.8928571428571429,0.0
6,7,0.6367857142857143,0.35714285714285715,0.8928571428571429,0.0
6,8,0.6639285714285716,0.42857142857142855,0.8571428571428571,0.0
6,9,0.6317857142857141,0.42857142857142855,0.8928571428571429,0.0
7,0,0.6514285714285714,0.39285714285714285,0.8571428571428571,0.0
7,1,0.6521428571428571,0.35714285714285715,0.8571428571428571,0.0
7,2,0.6485714285714285,0.39285714285714285,0.8571428571428571,0.0
7,3,0.6546428571428574,0.39285714285714285,0.9285714285714286,0.0
7,4,0.6507142857142857,0.39285714285714285,0.8571428571428571,0.0
7,5,0.6464285714285716,0.32142857142857145,0.8571428571428571,0.0
7,6,0.6425000000000002,0.42857142857142855,0.9285714285714286,0.0
7,7,0.6364285714285715,0.32142857142857145,0.8214285714285714,0.0
7,8,0.6425000000000003,0.32142857142857145,0.9285714285714286,0.0
7,9,0.6514285714285714,0.35714285714285715,0.9285714285714286,0.0
8,0,0.6603571428571429,0.42857142857142855,0.8928571428571429,0.0
8,1,0.6617857142857142,0.42857142857142855,0.9285714285714286,0.0
8,2,0.6603571428571429,0.42857142857142855,0.8928571428571429,0.0
8,3,0.6492857142857144,0.35714285714285715,0.8571428571428571,0.0
8,4,0.6328571428571428,0.42857142857142855,0.8571428571428571,0.0
8,5,0.6392857142857145,0.42857142857142855,0.8571428571428571,0.0
8,6,0.653214285714286,0.35714285714285715,0.8571428571428571,0.0
8,7,0.65,0.39285714285714285,0.8214285714285714,0.0
8,8,0.6628571428571428,0.42857142857142855,0.8571428571428571,0.0
8,9,0.6232142857142859,0.39285714285714285,0.8571428571428571,0.0
9,0,0.6432142857142858,0.32142857142857145,0.8928571428571429,0.0
9,1,0.6364285714285712,0.25,0.8928571428571429,0.0
9,2,0.6542857142857145,0.35714285714285715,0.8571428571428571,0.0
9,3,0.6567857142857144,0.39285714285714285,0.8928571428571429,0.0
9,4,0.6485714285714288,0.4642857142857143,0.8928571428571429,0.0
9,5,0.6453571428571426,0.35714285714285715,0.8571428571428571,0.0
9,6,0.6367857142857144,0.42857142857142855,0.8571428571428571,0.0
9,7,0.6489285714285714,0.39285714285714285,0.9285714285714286,0.0
9,8,0.6635714285714287,0.42857142857142855,0.8928571428571429,0.0
9,9,0.6389285714285714,0.35714285714285715,0.8571428571428571,0.0
10,0,0.6496428571428572,0.42857142857142855,0.8214285714285714,0.0
10,1,0.6660714285714284,0.4642857142857143,0.8928571428571429,0.0
10,2,0.6467857142857142,0.39285714285714285,0.8571428571428571,0.0
10,3,0.6671428571428573,0.4642857142857143,0.9285714285714286,0.0
10,4,0.6417857142857142,0.42857142857142855,0.8214285714285714,0.0
10,5,0.6346428571428572,0.39285714285714285,0.8571428571428571,0.0
10,6,0.650714285714286,0.39285714285714285,0.8571428571428571,0.0
10,7,0.6496428571428571,0.4642857142857143,0.8571428571428571,0.0
10,8,0.6328571428571429,0.39285714285714285,0.8571428571428571,0.0
10,9,0.6353571428571428,0.42857142857142855,0.8214285714285714,0.0
11,0,0.6703571428571431,0.42857142857142855,0.8928571428571429,0.0
11,1,0.6146428571428574,0.32142857142857145,0.8214285714285714,0.0
11,2,0.6510714285714283,0.35714285714285715,0.8571428571428571,0.0
11,3,0.6471428571428568,0.35714285714285715,0.8571428571428571,0.0
11,4,0.6507142857142858,0.42857142857142855,0.8571428571428571,0.0
11,5,0.6403571428571427,0.39285714285714285,0.8571428571428571,0.0
11,6,0.6342857142857142,0.42857142857142855,0.8928571428571429,0.0
11,7,0.6550000000000001,0.42857142857142855,0.8571428571428571,0.0
11,8,0.6364285714285715,0.35714285714285715,0.8928571428571429,0.0
11,9,0.6500000000000001,0.42857142857142855,0.8571428571428571,0.0
12,0,0.6546428571428572,0.35714285714285715,0.8571428571428571,0.0
12,1,0.6532142857142859,0.4642857142857143,0.8571428571428571,0.0
12,2,0.6510714285714287,0.32142857142857145,0.8928571428571429,0.0
12,3,0.6360714285714286,0.39285714285714285,0.8571428571428571,0.0
12,4,0.6560714285714284,0.35714285714285715,0.8571428571428571,0.0
12,5,0.6357142857142858,0.35714285714285715,0.8928571428571429,0.0
12,6,0.6424999999999998,0.42857142857142855,0.8571428571428571,0.0
12,7,0.6342857142857142,0.39285714285714285,0.8571428571428571,0.0
12,8,0.640357142857143,0.35714285714285715,0.9285714285714286,0.0
12,9,0.650714285714286,0.32142857142857145,0.8571428571428571,0.0
13,0,0.6364285714285716,0.35714285714285715,0.8928571428571429,0.0
13,1,0.6446428571428572,0.39285714285714285,0.8571428571428571,0.0
13,2,0.6378571428571429,0.2857142857142857,0.9285714285714286,0.0
13,3,0.6346428571428571,0.39285714285714285,0.9285714285714286,0.0
13,4,0.6521428571428571,0.35714285714285715,0.8571428571428571,0.0
13,5,0.6396428571428573,0.39285714285714285,0.8214285714285714,0.0
13,6,0.6396428571428572,0.32142857142857145,0.8928571428571429,0.0
13,7,0.6492857142857141,0.35714285714285715,0.8928571428571429,0.0
13,8,0.6457142857142858,0.42857142857142855,0.8214285714285714,0.0
13,9,0.6582142857142859,0.42857142857142855,0.8928571428571429,0.0
14,0,0.665,0.2857142857142857,0.8571428571428571,0.0
14,1,0.6475,0.4642857142857143,0.9285714285714286,0.0
14,2,0.6457142857142856,0.39285714285714285,1.0,0.01
14,3,0.6492857142857145,0.4642857142857143,0.8571428571428571,0.0
14,4,0.6528571428571428,0.2857142857142857,0.8571428571428571,0.0
14,5,0.632857142857143,0.32142857142857145,0.9285714285714286,0.0
14,6,0.6296428571428574,0.35714285714285715,0.8571428571428571,0.0
14,7,0.6424999999999998,0.35714285714285715,0.8571428571428571,0.0
14,8,0.6575,0.35714285714285715,0.8928571428571429,0.0
14,9,0.6317857142857142,0.39285714285714285,0.8928571428571429,0.0
