j,k,meanr,minr,maxr,proba
0,0,0.5886666666666666,0.26666666666666666,0.8666666666666667,0.0
0,1,0.584,0.3333333333333333,0.9333333333333333,0.0
0,2,0.6086666666666667,0.3333333333333333,0.8,0.0
0,3,0.5960000000000001,0.26666666666666666,0.9333333333333333,0.0
0,4,0.606,0.2,0.8,0.0
0,5,0.5813333333333335,0.26666666666666666,0.8666666666666667,0.0
0,6,0.5800000000000001,0.2,0.8666666666666667,0.0
0,7,0.5826666666666666,0.2,0.8666666666666667,0.0
0,8,0.5906666666666669,0.2,0.8666666666666667,0.0
0,9,0.5953333333333335,0.26666666666666666,0.8666666666666667,0.0
1,0,0.49928571428571433,0.21428571428571427,0.7857142857142857,0.0
1,1,0.49142857142857155,0.21428571428571427,0.8571428571428571,0.0
1,2,0.49642857142857116,0.07142857142857142,0.7857142857142857,0.0
1,3,0.5014285714285714,0.14285714285714285,0.8571428571428571,0.0
1,4,0.5042857142857141,0.21428571428571427,0.7857142857142857,0.0
1,5,0.5014285714285713,0.14285714285714285,0.7857142857142857,0.0
1,6,0.4914285714285713,0.14285714285714285,0.8571428571428571,0.0
1,7,0.47999999999999987,0.14285714285714285,0.8571428571428571,0.0
1,8,0.5064285714285715,0.14285714285714285,0.7857142857142857,0.0
1,9,0.47714285714285704,0.07142857142857142,0.7857142857142857,0.0
2,0,0.5154545454545453,0.18181818181818182,0.8181818181818182,0.0
2,1,0.5163636363636361,0.2727272727272727,0.7272727272727273,0.0
2,2,0.5318181818181817,0.18181818181818182,0.8181818181818182,0.0
2,3,0.5154545454545453,0.2727272727272727,0.8181818181818182,0.0
2,4,0.5136363636363636,0.09090909090909091,0.7272727272727273,0.0
2,5,0.531818181818182,0.18181818181818182,0.8181818181818182,0.0
2,6,0.5127272727272726,0.18181818181818182,0.9090909090909091,0.0
2,7,0.5181818181818182,0.2727272727272727,0.7272727272727273,0.0
2,8,0.5290909090909091,0.18181818181818182,0.8181818181818182,0.0
2,9,0.5345454545454544,0.18181818181818182,0.8181818181818182,0.0
3,0,0.4990909090909089,0.18181818181818182,0.7272727272727273,0.0
3,1,0.4818181818181818,0.18181818181818182,0.7272727272727273,0.0
3,2,0.5018181818181816,0.18181818181818182,0.8181818181818182,0.0
3,3,0.48454545454545445,0.18181818181818182,0.8181818181818182,0.0
3,4,0.5181818181818182,0.2727272727272727,0.9090909090909091,0.0
3,5,0.4745454545454546,0.09090909090909091,0.7272727272727273,0.0
3,6,0.49909090909090914,0.18181818181818182,0.7272727272727273,0.0
3,7,0.4827272727272726,0.18181818181818182,0.7272727272727273,0.0
3,8,0.5045454545454546,0.09090909090909091,0.8181818181818182,0.0
3,9,0.4763636363636364,0.18181818181818182,0.7272727272727273,0.0
4,0,0.45888888888888885,0.1111111111111111,0.6666666666666666,0.0
4,1,0.47666666666666685,0.2222222222222222,0.7777777777777778,0.0
4,2,0.44777777777777766,0.1111111111111111,0.8888888888888888,0.0
4,3,0.4533333333333332,0.1111111111111111,0.8888888888888888,0.0
4,4,0.4266666666666663,0.1111111111111111,0.6666666666666666,0.0
4,5,0.4533333333333332,0.1111111111111111,0.7777777777777778,0.0
4,6,0.4622222222222222,0.0,0.7777777777777778,0.0
4,7,0.4733333333333334,0.2222222222222222,0.7777777777777778,0.0
4,8,0.43777777777777793,0.1111111111111111,0.8888888888888888,0.0
4,9,0.46111111111111086,0.0,0.7777777777777778,0.0
5,0,0.45833333333333337,0.08333333333333333,0.8333333333333334,0.0
5,1,0.4624999999999999,0.16666666666666666,0.8333333333333334,0.0
5,2,0.44916666666666655,0.16666666666666666,0.75,0.0
5,3,0.4825000000000001,0.08333333333333333,0.8333333333333334,0.0
5,4,0.43666666666666676,0.0,0.8333333333333334,0.0
5,5,0.4716666666666665,0.16666666666666666,0.9166666666666666,0.0
5,6,0.45916666666666656,0.16666666666666666,0.75,0.0
5,7,0.44083333333333335,0.08333333333333333,0.8333333333333334,0.0
5,8,0.4533333333333335,0.08333333333333333,0.75,0.0
5,9,0.4550000000000001,0.08333333333333333,0.75,0.0
6,0,0.4842857142857144,0.21428571428571427,0.8571428571428571,0.0
6,1,0.4842857142857143,0.14285714285714285,0.9285714285714286,0.0
6,2,0.47571428571428576,0.14285714285714285,0.8571428571428571,0.0
6,3,0.49642857142857144,0.14285714285714285,0.8571428571428571,0.0
6,4,0.5035714285714284,0.07142857142857142,0.7857142857142857,0.0
6,5,0.49285714285714277,0.07142857142857142,0.7857142857142857,0.0
6,6,0.5092857142857143,0.21428571428571427,0.7857142857142857,0.0
6,7,0.4914285714285714,0.21428571428571427,0.7142857142857143,0.0
6,8,0.4992857142857144,0.21428571428571427,0.7857142857142857,0.0
6,9,0.5014285714285716,0.21428571428571427,0.8571428571428571,0.0
7,0,0.5415384615384617,0.23076923076923078,0.7692307692307693,0.0
7,1,0.5461538461538463,0.23076923076923078,0.8461538461538461,0.0
7,2,0.5123076923076924,0.23076923076923078,0.7692307692307693,0.0
7,3,0.5307692307692307,0.23076923076923078,0.7692307692307693,0.0
7,4,0.5176923076923079,0.23076923076923078,0.8461538461538461,0.0
7,5,0.52,0.15384615384615385,0.8461538461538461,0.0
7,6,0.5315384615384615,0.15384615384615385,0.7692307692307693,0.0
7,7,0.5438461538461538,0.3076923076923077,0.9230769230769231,0.0
7,8,0.5499999999999998,0.23076923076923078,0.8461538461538461,0.0
7,9,0.52,0.3076923076923077,0.7692307692307693,0.0
8,0,0.5980000000000001,0.13333333333333333,0.8666666666666667,0.0
8,1,0.6146666666666665,0.3333333333333333,0.8666666666666667,0.0
8,2,0.6033333333333333,0.26666666666666666,0.8,0.0
8,3,0.5953333333333334,0.13333333333333333,0.8,0.0
8,4,0.6073333333333333,0.26666666666666666,0.8,0.0
8,5,0.5873333333333333,0.2,0.8666666666666667,0.0
8,6,0.61,0.2,0.8666666666666667,0.0
8,7,0.6093333333333334,0.26666666666666666,0.8,0.0
8,8,0.5806666666666667,0.26666666666666666,0.8666666666666667,0.0
8,9,0.6066666666666667,0.3333333333333333,0.8666666666666667,0.0
9,0,0.5714285714285715,0.2857142857142857,0.8571428571428571,0.0
9,1,0.5700000000000001,0.2857142857142857,0.7857142857142857,0.0
9,2,0.5835714285714287,0.21428571428571427,0.8571428571428571,0.0
9,3,0.5492857142857147,0.21428571428571427,0.8571428571428571,0.0
9,4,0.5657142857142858,0.35714285714285715,0.8571428571428571,0.0
9,5,0.5407142857142858,0.21428571428571427,0.7857142857142857,0.0
9,6,0.5585714285714288,0.2857142857142857,0.8571428571428571,0.0
9,7,0.5685714285714285,0.2857142857142857,0.8571428571428571,0.0
9,8,0.585,0.21428571428571427,0.8571428571428571,0.0
9,9,0.5614285714285715,0.14285714285714285,0.7857142857142857,0.0
10,0,0.5049999999999997,0.16666666666666666,0.8333333333333334,0.0
10,1,0.4983333333333333,0.16666666666666666,0.9166666666666666,0.0
10,2,0.5141666666666667,0.16666666666666666,0.75,0.0
10,3,0.5249999999999999,0.16666666666666666,0.8333333333333334,0.0
10,4,0.5333333333333334,0.16666666666666666,0.8333333333333334,0.0
10,5,0.5166666666666666,0.16666666666666666,0.8333333333333334,0.0
10,6,0.5091666666666665,0.08333333333333333,0.8333333333333334,0.0
10,7,0.5300000000000002,0.25,0.8333333333333334,0.0
10,8,0.5008333333333332,0.16666666666666666,0.8333333333333334,0.0
10,9,0.5400000000000001,0.25,0.8333333333333334,0.0
11,0,0.49416666666666664,0.25,0.9166666666666666,0.0
11,1,0.47083333333333316,0.0,0.75,0.0
11,2,0.4875000000000002,0.16666666666666666,0.8333333333333334,0.0
11,3,0.48166666666666663,0.08333333333333333,0.8333333333333334,0.0
11,4,0.47666666666666657,0.16666666666666666,0.75,0.0
11,5,0.4874999999999997,0.16666666666666666,0.8333333333333334,0.0
11,6,0.4700000000000001,0.16666666666666666,0.75,0.0
11,7,0.5033333333333334,0.16666666666666666,0.8333333333333334,0.0
11,8,0.4725,0.25,0.8333333333333334,0.0
11,9,0.4983333333333331,0.16666666666666666,0.75,0.0
12,0,0.4569999999999999,0.0,0.7,0.0
12,1,0.4620000000000001,0.0,0.8,0.0
12,2,0.48900000000000005,0.1,0.8,0.0
12,3,0.503,0.0,0.8,0.0
12,4,0.477,0.0,0.8,0.0
12,5,0.4809999999999999,0.1,0.8,0.0
12,6,0.49199999999999994,0.0,0.7,0.0
12,7,0.5080000000000002,0.0,0.8,0.0
12,8,0.494,0.2,0.9,0.0
12,9,0.46300000000000013,0.0,0.7,0.0
13,0,0.5590909090909087,0.09090909090909091,0.8181818181818182,0.0
13,1,0.5618181818181817,0.18181818181818182,0.8181818181818182,0.0
13,2,0.5736363636363635,0.18181818181818182,0.8181818181818182,0.0
13,3,0.5699999999999996,0.18181818181818182,0.7272727272727273,0.0
13,4,0.5472727272727268,0.09090909090909091,0.8181818181818182,0.0
13,5,0.5881818181818178,0.09090909090909091,0.8181818181818182,0.0
13,6,0.5736363636363631,0.18181818181818182,0.8181818181818182,0.0
13,7,0.5445454545454542,0.09090909090909091,0.8181818181818182,0.0
13,8,0.5490909090909089,0.2727272727272727,0.9090909090909091,0.0
13,9,0.5690909090909089,0.2727272727272727,0.8181818181818182,0.0
14,0,0.5208333333333334,0.16666666666666666,0.75,0.0
14,1,0.4991666666666666,0.08333333333333333,0.8333333333333334,0.0
14,2,0.5200000000000004,0.25,0.75,0.0
14,3,0.49083333333333334,0.16666666666666666,0.75,0.0
14,4,0.4916666666666667,0.16666666666666666,0.75,0.0
14,5,0.5066666666666665,0.08333333333333333,0.9166666666666666,0.0
14,6,0.5158333333333331,0.16666666666666666,0.8333333333333334,0.0
14,7,0.49500000000000005,0.16666666666666666,0.8333333333333334,0.0
14,8,0.5100000000000002,0.25,0.8333333333333334,0.0
14,9,0.505,0.08333333333333333,0.75,0.0
